Month,Machine learning,Mathematical optimization,Artificial neural network
2004-01,8,91,59
2004-02,9,98,63
2004-03,9,99,63
2004-04,8,100,70
2004-05,9,98,65
2004-06,8,96,58
2004-07,8,93,49
2004-08,7,90,48
2004-09,8,89,48
2004-10,9,90,54
2004-11,8,91,57
2004-12,7,80,52
2005-01,6,82,47
2005-02,7,83,44
2005-03,7,82,47
2005-04,7,85,47
2005-05,7,83,49
2005-06,7,84,44
2005-07,5,72,36
2005-08,5,69,35
2005-09,7,72,37
2005-10,7,75,40
2005-11,7,76,40
2005-12,6,71,35
2006-01,6,66,31
2006-02,5,72,31
2006-03,6,71,36
2006-04,6,68,33
2006-05,5,69,34
2006-06,5,64,30
2006-07,4,59,25
2006-08,4,59,27
2006-09,5,62,27
2006-10,5,61,28
2006-11,5,62,30
2006-12,5,55,26
2007-01,5,59,24
2007-02,5,56,24
2007-03,5,58,27
2007-04,5,60,26
2007-05,5,63,26
2007-06,5,59,25
2007-07,4,57,22
2007-08,5,55,20
2007-09,5,57,22
2007-10,5,60,23
2007-11,5,62,24
2007-12,4,54,23
2008-01,5,56,21
2008-02,4,54,20
2008-03,4,53,22
2008-04,4,58,23
2008-05,4,56,22
2008-06,4,52,21
2008-07,3,50,17
2008-08,4,47,17
2008-09,4,51,20
2008-10,4,53,20
2008-11,4,55,21
2008-12,5,51,19
2009-01,4,48,17
2009-02,4,52,19
2009-03,5,55,20
2009-04,4,57,21
2009-05,4,55,20
2009-06,4,53,18
2009-07,5,49,16
2009-08,4,48,16
2009-09,4,51,16
2009-10,5,52,18
2009-11,5,54,18
2009-12,4,47,17
2010-01,4,48,16
2010-02,4,51,15
2010-03,4,54,17
2010-04,4,52,18
2010-05,4,49,18
2010-06,4,47,16
2010-07,4,43,13
2010-08,4,42,13
2010-09,4,44,14
2010-10,4,46,15
2010-11,5,47,15
2010-12,4,42,15
2011-01,4,43,14
2011-02,4,46,15
2011-03,4,45,16
2011-04,4,45,16
2011-05,4,44,16
2011-06,4,42,14
2011-07,3,37,13
2011-08,4,37,13
2011-09,5,40,14
2011-10,6,42,15
2011-11,6,43,16
2011-12,5,39,15
2012-01,5,39,14
2012-02,5,41,14
2012-03,5,42,15
2012-04,6,41,15
2012-05,6,42,15
2012-06,5,39,14
2012-07,5,36,13
2012-08,5,37,13
2012-09,6,38,15
2012-10,6,40,15
2012-11,6,40,15
2012-12,5,36,14
2013-01,6,36,14
2013-02,6,37,14
2013-03,6,38,14
2013-04,6,40,15
2013-05,6,38,15
2013-06,6,35,13
2013-07,6,34,13
2013-08,6,32,12
2013-09,6,35,13
2013-10,7,39,14
2013-11,7,40,15
2013-12,7,36,14
2014-01,7,36,14
2014-02,8,37,14
2014-03,8,38,14
2014-04,8,39,15
2014-05,8,39,15
2014-06,8,35,13
2014-07,8,32,13
2014-08,8,32,13
2014-09,9,36,14
2014-10,9,38,14
2014-11,9,41,15
2014-12,9,36,15
2015-01,10,35,13
2015-02,10,37,14
2015-03,11,39,15
2015-04,12,39,15
2015-05,11,38,16
2015-06,12,37,16
2015-07,12,32,18
2015-08,12,32,14
2015-09,13,35,15
2015-10,14,37,16
2015-11,15,40,17
2015-12,14,37,16
2016-01,15,38,17
2016-02,15,41,18
2016-03,17,42,21
2016-04,17,44,21
2016-05,18,45,21
2016-06,18,39,20
2016-07,16,34,17
2016-08,17,34,17
2016-09,20,38,19
2016-10,22,40,22
2016-11,23,43,24
2016-12,23,38,22
2017-01,25,38,21
2017-02,28,40,23
2017-03,30,43,25
2017-04,30,42,25
2017-05,32,41,26
2017-06,34,37,23
2017-07,31,34,22
2017-08,31,34,22
2017-09,35,37,24
2017-10,38,40,25
2017-11,39,44,28
2017-12,37,39,27
2018-01,37,38,25
2018-02,39,38,26
2018-03,43,38,26
2018-04,40,38,27
2018-05,44,40,27
2018-06,42,35,24
2018-07,41,33,23
2018-08,43,36,22
2018-09,43,39,24
2018-10,46,40,26
2018-11,45,41,28
2018-12,41,37,25
2019-01,44,44,23
2019-02,47,41,25
2019-03,48,44,26
2019-04,47,44,27
2019-05,46,43,26
2019-06,33,33,18
